Sample code,week day,Start date,Stop date,PM2.5 (ug/m3),OC (ugC/m3),BC (ugC/m3),Na+ (ng/m3),NH4+ (ng/m3),K+ (ng/m3),Mg2+ (ng/m3),Ca2+ (ng/m3),F- (ng/m3),Cl- (ng/m3),NO3- (ng/m3),PO43- (ng/m3),SO42- (ng/m3),14C pMC BC (%),Rainfall (mm),D14C (‰),ƒfossil ,ƒbiomass,BCbiomass(ug m-3)  ,BCfossil (Ug m-3)
KEN58-141101,Sun,11/1/2014,11/2/2014,,7.66,2.93,69.22115343,299.0397362,271.0281705,10.55908373,146.5985855,8.041152453,61.56126658,153.7631611,2.151268833,1284.251234,N/A,18,,,,,
Ken59-141107,Sat,11/8/2014,11/8/2014,24.36,6.86,4.05,130.6683979,99.67659586,239.2338742,33.49323345,689.5260383,15.69179471,190.3657551,439.8543862,32.29630914,728.0292332,13.8,0.2,-862,86.94%,13.06%,0.528760643,3.521239357
Nai-B1-141204,Thur,12/4/2014,12/5/2014,18.28,5.8,3.69,125.484667,142.2634289,244.8531306,38.79704552,792.7317597,22.62436833,198.4075389,462.1744864,32.25674596,726.5980431,N/A,16.7,,,,,
Naii-B2-141210,Wed,12/10/2014,12/22/2014,17.05,4.6,3.5,126.7403398,207.7457157,281.4315447,12.79226262,56.84078988,7.97413033,41.96913528,254.6817893,17.05372884,984.2281383,12.7,23.5,-873,87.98%,12.02%,0.420529801,3.079470199
Nai-B3-141216,Tue,12/16/2014,2014-1217,18.21,5.01,2.6,220.1602523,530.3181855,267.0056821,35.75114356,205.0491599,11.79133227,72.92174939,343.3338558,40.75443154,2185.42123,N/A,11.4,,,,,
Nai-B4-141222,Mon,12/22/2014,12/23/2014,32.59,12.13,7.54,219.0012065,526.6089965,257.6024233,35.66317784,208.9500857,4.472939005,69.80877868,328.463201,21.70823332,2201.019123,12.7,13.6,-873,87.98%,12.02%,0.905941343,6.634058657
Nai-B6-141228,Sun,12/28/2014,12/29/2014,16.97,3.45,2.53,116.9923933,460.395749,191.4206909,21.72026206,149.8815043,6.328402643,24.26458628,212.5888985,20.79637207,2137.293034,N/A,0.8,,,,,
Nai-B7-150103,Sat,1/3/2015,1/4/2015,21.23,5.58,2.86,198.6194863,494.5248185,196.1937882,33.82759102,194.2053103,8.221889113,50.25919422,291.0476345,36.32544713,1850.954165,20.9,0,-791,80.23%,19.77%,0.565506149,2.294493851
Nai B8-150109,Fri,1/9/2015,1/10/2015,21.25,4.94,3.03,173.6243731,269.3966046,464.9361968,28.63754525,181.8351097,12.80973642,27.09763293,378.3354165,33.58564033,1693.161426,N/A,0,,,,,
Nai-B9-150115,Thur,1/15/2015,1/16/2015,29.17,8.03,4.25,328.4604596,815.4911764,193.0835914,51.61379644,280.7611355,8.81134278,61.68725053,333.7679053,8.20271515,3279.129787,18,1.5,-820,82.97%,17.03%,0.723746452,3.526253548
Nai-B10-150121,Wed,1/21/2015,1/22/2015,18.34,4.36,3.69,328.4601693,827.7945612,187.3177488,51.99095516,279.907829,6.979250746,61.80893122,355.6797664,39.93240201,3300.27361,N/A,6.1,,,,,
Nai-B12-150127,Tue,1/27/2015,1/28/2015,20.76,6.27,2.59,200.3825993,699.3710856,295.9222881,36.55867378,332.3587238,9.327032016,105.2530457,407.7570469,6.045565212,3067.02431,16.7,0,-833,84.20%,15.80%,0.409205298,2.180794702
Nai_C7_150204,Wed,2/4/2015,2/5/2015,23.67,4.28,4.21,196.2936852,972.4085707,291.1181389,33.35559153,222.838482,1.911239448,42.66235086,272.8684837,0,3466.682849,N/A,0,,,,,
Nai_C2_150210,Tue,2/10/2015,2/11/2015,25.44,4.46,3.37,167.6569195,450.5708932,334.17292,40.45648321,439.3972244,11.86585177,242.8246645,410.0805963,1.568510839,1927.800801,13.7,3.6,-860,86.75%,13.25%,0.557615894,3.652384106
Nai_C13_150216,Mon,2/16/2015,2/17/2015,25.2,7.3,6.54,184.8379277,630.8501345,276.8178112,30.43015403,161.571753,9.301208215,25.64252864,260.6680285,18.95099864,2494.789294,N/A,50.9,,,,,
Nai_C04_150222,Sun,2/22/2015,2/23/2015,20.55,5.1,3.58,342.4565262,312.3103509,283.0896769,50.37243165,336.3490968,6.102725629,357.120975,426.9625937,0,1782.443302,18.6,0,-814,82.40%,17.60%,0.629971618,2.950028382
